Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
REPUBLIC BK OF CHICAGO,REPUBLIC BC CO,380,671334,"OAK BROOK, IL",SNM,2827,2827,100,93,18,0,N
OAKSTAR BK,OAKSTAR BSHRS,381,3374412,"SPRINGFIELD, MO",SMB,2825,2825,100,93,25,0,N
FIRST FIDELITY BK,FIRST FIDELITY BC,382,106359,"OKLAHOMA CITY, OK",SMB,2816,2816,100,93,27,0,N
STATE BK OF TX,SBT BSHRS,383,1157415,"IRVING, TX",SNM,2812,2812,100,93,6,0,N
INVESTAR BK NA,INVESTAR HC,384,3449066,"BATON ROUGE, LA",NAT,2799,2799,100,93,28,0,N
NEXTIER BK NA,NEXTIER,385,18827,"KITTANNING, PA",NAT,2798,2798,100,93,30,0,N
CORNERSTONE BK,FIRST YORK BC,386,403151,"YORK, NE",SMB,2794,2794,100,93,46,0,N
AMERICAN FNB,AFNB HOLD,387,2694681,"HOUSTON, TX",NAT,2793,2793,100,93,19,0,N
CHEMUNG CANAL TC,CHEMUNG FC,388,884303,"ELMIRA, NY",SMB,2775,2775,100,93,30,0,N
MIDWEST BANKCENTRE,STUPP BROS,389,657459,"SAINT LOUIS, MO",SMB,2754,2754,100,93,15,0,N
BANKFIRST FINANCIAL SVC,BANKFIRST CAP CORP,390,914648,"MACON, MS",SMB,2749,2749,100,93,40,0,N
SOUTHERN BANCORP BK,SOUTHERN BC,391,852544,"ARKADELPHIA, AR",SMB,2739,2739,100,93,53,0,N
AMBOY BK,AMBOY BC,392,9807,"OLD BRIDGE, NJ",SMB,2736,2736,100,93,23,0,N
BANK INDEP,BANCINDEPENDENT,393,539032,"SHEFFIELD, AL",SMB,2734,2734,100,93,32,0,N
CHOICEONE BK,CHOICEONE FS,394,324340,"SPARTA, MI",SMB,2724,2724,100,94,28,0,N
TEXAS RGNL BK,TEXAS ST BSHRS,395,380458,"HARLINGEN, TX",SMB,2716,2716,100,94,32,0,N
LIBERTYVILLE B&TC NA,WINTRUST FC,396,2339795,"LIBERTYVILLE, IL",NAT,2690,2690,100,94,7,0,N
MERCHANTS BK NA,MERCHANTS FNCL GROUP,397,779351,"WINONA, MN",NAT,2688,2688,100,94,22,0,N
PINNACLE BK,PINNACLE BC,398,867650,"FORT WORTH, TX",SNM,2679,2679,100,94,27,0,N
AMERICAN MOMENTUM BK,ADAM BK GRP,399,3447576,"COLLEGE STATION, TX",SNM,2674,2674,100,94,27,0,N
CB&S BK,CBS BANC CORP,400,594433,"RUSSELLVILLE, AL",SNM,2667,2667,100,94,53,0,N
CITIZENS & NORTHERN BK,CITIZENS & NORTHERN CORP,401,895710,"WELLSBORO, PA",SMB,2657,2657,100,94,27,0,N
TRADITION CAP BK,TRADITION BSHRS,402,3344321,"WAYZATA, MN",SNM,2656,2656,100,94,3,0,N
UNITY BK,UNITY BC,403,1890525,"CLINTON, NJ",SNM,2628,2628,100,94,20,0,N
CEDAR RAPIDS B&TC,QCR HOLDS,404,3029589,"CEDAR RAPIDS, IA",SMB,2620,2620,100,94,7,0,N
FIDELITY DEPOSIT & DISCOUNT,FIDELITY D&D BC INC,405,1007819,"DUNMORE, PA",SNM,2616,2616,100,94,20,0,N
LAKESIDE BK,LAKESIDE BC,406,201834,"CHICAGO, IL",SNM,2609,2609,100,94,8,0,N
HABIB AMER BK,MAHAM BETEILIGUNGSGESELLSCHAFT,407,245016,"NEW YORK, NY",SNM,2607,2571,99,94,5,0,Y
STATE BK OF SOUTHERN UT,SOUTHERN UT BC,408,656470,"CEDAR CITY, UT",SNM,2554,2554,100,94,16,0,N
UNITED BUS BK,BAYCOM CORP,409,3281510,"WALNUT CREEK, CA",SMB,2544,2544,100,94,36,0,N
